grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, pancake16, "7 12 8 3 15 2 6 10 9 0 14 13 1 11 5 4", na, na, na, na
X, dfid, pancake16, "1 0 9 10 5 8 7 11 6 2 3 4 12 13 14 15", 7, 931086390, 14.649998, 6.3555393659e+07
X, dfid, pancake16, "11 0 14 10 5 2 13 8 12 3 6 7 15 1 9 4", na, na, na, na
X, dfid, pancake16, "1 2 0 13 6 11 14 15 8 9 5 3 4 10 12 7", na, na, na, na
X, dfid, pancake16, "3 1 6 4 7 0 2 12 15 10 14 13 5 11 9 8", na, na, na, na
X, dfid, pancake16, "13 12 2 15 11 1 9 5 3 4 14 10 0 7 6 8", na, na, na, na
X, dfid, pancake16, "4 2 1 8 5 0 9 13 6 14 3 11 10 15 12 7", na, na, na, na
X, dfid, pancake16, "9 7 6 5 10 11 12 13 14 4 15 8 1 0 3 2", na, na, na, na
X, dfid, pancake16, "2 1 11 10 9 6 7 8 12 13 5 0 3 4 14 15", 7, 1333454684, 22.642715, 5.8891112837e+07
X, dfid, pancake16, "9 4 5 6 15 7 8 3 11 12 0 10 2 1 13 14", na, na, na, na
X, dfid, pancake16, "11 3 15 14 12 13 2 5 10 7 4 1 8 9 6 0", na, na, na, na
X, dfid, pancake16, "15 13 12 11 10 9 8 14 0 1 2 3 4 5 6 7", 4, 650327, 0.015544, 4.1837815234e+07
X, dfid, pancake16, "12 11 10 9 8 7 6 0 1 2 3 4 5 13 14 15", 2, 2625, 0.000066, 3.9772727273e+07
X, dfid, pancake16, "11 8 5 4 7 0 2 1 14 10 12 15 6 13 3 9", na, na, na, na
X, dfid, pancake16, "7 6 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 1, 108, 0.000004, 2.7000000000e+07
X, dfid, pancake16, "6 2 7 8 9 10 11 5 4 0 1 3 12 13 14 15", 6, 14334505, 0.337673, 4.2450847417e+07
X, dfid, pancake16, "11 10 9 8 0 1 2 3 7 6 5 4 12 13 14 15", 3, 33457, 0.000749, 4.4668891856e+07
X, dfid, pancake16, "2 1 0 8 12 11 9 10 3 4 7 6 5 13 14 15", 6, 58079821, 1.349367, 4.3042271673e+07
X, dfid, pancake16, "13 12 11 10 0 1 2 3 4 5 6 7 8 9 14 15", 2, 2896, 0.000067, 4.3223880597e+07
X, dfid, pancake16, "12 13 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 2, 409, 0.000011, 3.7181818182e+07
X, dfid, pancake16, "2 3 4 5 6 7 8 9 10 11 1 0 12 13 14 15", 2, 2067, 0.000049, 4.2183673469e+07
X, dfid, pancake16, "5 6 11 12 0 1 10 9 8 7 13 14 15 4 3 2", 8, 1600980091, 137.084555, 1.1678778043e+07
X, dfid, pancake16, "8 15 3 1 14 11 13 6 9 4 2 12 0 7 10 5", na, na, na, na
X, dfid, pancake16, "13 12 11 10 9 8 7 0 1 2 3 4 5 6 14 15", 2, 2851, 0.000067, 4.2552238806e+07
X, dfid, pancake16, "12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 13", 3, 44748, 0.001073, 4.1703634669e+07
X, dfid, pancake16, "7 3 4 5 6 8 9 10 11 12 13 14 2 1 0 15", 4, 179838, 0.004858, 3.7018937834e+07
X, dfid, pancake16, "7 8 9 10 11 12 6 5 4 3 2 1 0 13 14 15", 2, 1238, 0.000035, 3.5371428571e+07
X, dfid, pancake16, "7 6 5 4 2 3 1 0 8 9 10 11 12 13 14 15", 4, 213928, 0.005549, 3.8552531988e+07
X, dfid, pancake16, "8 12 14 13 0 2 7 6 4 9 11 3 15 5 1 10", na, na, na, na
X, dfid, pancake16, "15 14 13 12 11 0 1 2 3 4 5 6 7 8 9 10", 2, 3333, 0.000083, 4.0156626506e+07
X, dfid, pancake16, "6 7 8 9 10 11 12 5 0 4 3 2 1 13 14 15", 4, 284593, 0.006657, 4.2750938861e+07
X, dfid, pancake16, "7 8 9 10 11 12 13 14 6 1 0 2 3 4 5 15", 4, 332266, 0.007777, 4.2724186704e+07
X, dfid, pancake16, "12 5 4 3 2 11 10 9 8 7 6 1 0 13 14 15", 4, 196694, 0.004586, 4.2890100305e+07
X, dfid, pancake16, "4 5 3 1 2 7 10 8 11 12 13 14 6 9 15 0", na, na, na, na
X, dfid, pancake16, "0 5 6 3 4 1 2 7 8 9 10 11 12 13 14 15", 5, 2581125, 0.066485, 3.8822666767e+07
X, dfid, pancake16, "8 7 6 2 1 0 3 4 5 14 9 13 12 11 10 15", 6, 81292522, 1.897516, 4.2841547581e+07
X, dfid, pancake16, "11 12 13 14 15 10 9 8 0 1 5 4 6 7 3 2", 6, 41377726, 0.696017, 5.9449303681e+07
X, dfid, pancake16, "1 2 3 4 5 6 7 8 9 0 10 11 12 13 14 15", 2, 1826, 0.000037, 4.9351351351e+07
X, dfid, pancake16, "2 3 4 5 6 7 8 12 11 10 9 1 0 13 14 15", 3, 30577, 0.000546, 5.6001831502e+07
X, dfid, pancake16, "6 5 4 3 2 7 8 9 10 11 12 13 1 0 14 15", 3, 14339, 0.000259, 5.5362934363e+07
X, dfid, pancake16, "0 1 2 3 4 5 6 11 12 8 9 10 7 13 14 15", 6, 53795004, 1.289505, 4.1717561390e+07
X, dfid, pancake16, "7 5 4 3 2 1 0 8 9 6 10 11 12 13 14 15", 4, 358093, 0.009705, 3.6897784647e+07
X, dfid, pancake16, "7 8 6 5 4 3 2 1 0 10 11 9 12 13 14 15", 4, 73395, 0.001985, 3.6974811083e+07
X, dfid, pancake16, "15 5 11 2 12 7 6 13 8 4 3 14 9 10 0 1", na, na, na, na
X, dfid, pancake16, "4 5 6 7 8 0 1 9 10 3 2 11 12 13 14 15", 5, 5069676, 0.113074, 4.4835028388e+07
X, dfid, pancake16, "14 13 12 0 1 2 3 4 6 5 7 8 9 10 11 15", 5, 5325229, 0.136978, 3.8876527618e+07
X, dfid, pancake16, "4 5 6 7 8 9 10 11 12 3 2 1 0 13 14 15", 2, 1871, 0.000045, 4.1577777778e+07
X, dfid, pancake16, "6 0 11 5 9 14 10 3 12 15 7 8 2 13 4 1", na, na, na, na
X, dfid, pancake16, "15 14 13 0 1 2 3 4 12 11 10 9 8 7 6 5", 3, 46196, 0.001015, 4.5513300493e+07
X, dfid, pancake16, "10 6 9 3 4 5 15 0 1 2 8 13 12 7 11 14", na, na, na, na
X, dfid, pancake16, "8 7 3 6 5 4 2 1 15 0 9 10 11 12 13 14", 8, 1860177033, 43.029410, 4.3230363442e+07
X, dfid, pancake16, "1 15 14 13 12 11 10 9 0 2 3 4 8 6 7 5", 8, 3899087617, 249.078224, 1.5654068647e+07
X, dfid, pancake16, "7 9 8 1 2 3 4 5 6 10 0 11 12 13 14 15", 6, 17726602, 0.415944, 4.2617761045e+07
X, dfid, pancake16, "12 6 9 1 8 7 5 13 4 2 3 14 10 15 11 0", na, na, na, na
X, dfid, pancake16, "5 4 0 1 2 3 6 7 8 9 10 11 12 13 14 15", 2, 1118, 0.000019, 5.8842105263e+07
X, dfid, pancake16, "2 3 4 5 6 7 8 9 10 0 1 11 12 13 14 15", 3, 25783, 0.000411, 6.2732360097e+07
X, dfid, pancake16, "7 9 0 4 1 15 2 3 13 6 14 5 10 11 12 8", na, na, na, na
X, dfid, pancake16, "3 6 4 5 0 10 9 8 7 2 1 11 12 13 14 15", 7, 946659405, 20.593177, 4.5969565794e+07
X, dfid, pancake16, "4 7 5 10 0 6 12 15 1 2 3 13 11 14 8 9", na, na, na, na
X, dfid, pancake16, "10 15 6 3 1 2 0 7 8 4 9 12 13 14 11 5", na, na, na, na
X, dfid, pancake16, "11 10 2 1 0 12 13 14 6 5 4 3 15 9 7 8", 8, 3074824613, 59.607151, 5.1584827683e+07
X, dfid, pancake16, "13 14 12 11 10 9 0 1 2 8 7 6 5 4 3 15", 4, 84130, 0.001968, 4.2748983740e+07
X, dfid, pancake16, "15 14 3 4 5 1 2 13 12 7 6 0 8 9 10 11", na, na, na, na
X, dfid, pancake16, "9 8 7 6 4 3 13 12 11 0 1 2 10 5 14 15", 6, 93227972, 1.445817, 6.4481170162e+07
X, dfid, pancake16, "9 10 11 12 8 7 6 5 4 3 2 1 0 13 14 15", 2, 816, 0.000021, 3.8857142857e+07
X, dfid, pancake16, "8 9 12 11 10 5 13 7 6 4 3 2 1 0 14 15", 7, 481667180, 8.075954, 5.9642140111e+07
X, dfid, pancake16, "12 4 3 7 5 8 9 10 11 2 6 1 0 13 14 15", na, na, na, na
