grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, topspin16-4, "0 1 2 3 4 8 5 9 10 7 6 14 13 12 11 15", 4, 92779, 0.001617, 5.7377241806e+07
X, dfid, topspin16-4, "14 13 1 6 5 2 3 7 4 8 9 10 11 12 0 15", 4, 70930, 0.001236, 5.7386731392e+07
X, dfid, topspin16-4, "0 13 9 5 12 2 3 4 1 8 10 11 6 7 14 15", 10, 1895603597, 107.498356, 1.7633791507e+07
X, dfid, topspin16-4, "5 6 1 10 9 13 12 11 0 3 2 14 7 8 4 15", 8, 75314009, 1.311339, 5.7432905603e+07
X, dfid, topspin16-4, "14 1 0 8 5 2 4 3 7 6 12 13 9 11 10 15", 10, 2951081328, 198.176487, 1.4891177923e+07
X, dfid, topspin16-4, "14 11 13 5 3 12 2 8 10 9 4 0 1 6 7 15", na, na, na, na
X, dfid, topspin16-4, "6 9 0 1 5 4 3 2 7 13 8 12 11 14 10 15", 10, 1807836841, 402.250639, 4.4943044603e+06
X, dfid, topspin16-4, "14 10 1 2 3 4 8 9 5 6 7 13 12 11 0 15", 4, 100651, 0.001714, 5.8722870478e+07
X, dfid, topspin16-4, "5 6 7 3 4 11 10 9 8 12 13 14 2 1 0 15", 4, 17017, 0.000290, 5.8679310345e+07
X, dfid, topspin16-4, "0 1 2 3 4 11 7 6 5 8 12 13 10 9 14 15", 4, 85874, 0.001526, 5.6273918742e+07
X, dfid, topspin16-4, "2 5 4 3 1 13 12 11 9 8 7 10 14 0 6 15", 10, 3411312098, 132.091988, 2.5825276382e+07
X, dfid, topspin16-4, "13 11 12 4 3 1 0 2 14 5 6 7 10 9 8 15", 8, 607827079, 10.525687, 5.7747022023e+07
X, dfid, topspin16-4, "9 7 12 11 13 2 0 14 10 5 4 3 8 1 6 15", na, na, na, na
X, dfid, topspin16-4, "3 14 8 1 0 2 13 11 7 12 10 4 9 6 5 15", na, na, na, na
X, dfid, topspin16-4, "0 1 2 9 12 13 3 5 7 11 10 6 8 4 14 15", 10, 1769837408, 329.174002, 5.3766014243e+06
X, dfid, topspin16-4, "8 1 2 3 12 0 4 5 6 7 11 14 13 9 10 15", 6, 2180954, 0.037666, 5.7902458451e+07
X, dfid, topspin16-4, "6 8 3 2 5 4 7 11 10 1 0 12 9 13 14 15", 8, 85801005, 1.437420, 5.9690977585e+07
X, dfid, topspin16-4, "5 6 14 12 1 0 7 8 4 10 11 2 3 9 13 15", na, na, na, na
X, dfid, topspin16-4, "4 7 1 8 9 0 3 2 5 6 10 11 12 13 14 15", 6, 4774744, 0.080302, 5.9459839107e+07
X, dfid, topspin16-4, "4 9 8 2 3 10 7 11 12 6 14 0 1 5 13 15", 10, 2687748021, 193.181097, 1.3913100519e+07
X, dfid, topspin16-4, "14 7 2 3 11 10 6 0 4 5 8 9 13 1 12 15", na, na, na, na
X, dfid, topspin16-4, "13 12 11 3 2 7 14 8 1 4 5 0 6 9 10 15", 10, 2828328538, 491.790876, 5.7510797293e+06
X, dfid, topspin16-4, "0 4 8 1 7 11 12 9 10 5 6 14 3 13 2 15", na, na, na, na
X, dfid, topspin16-4, "7 4 13 3 6 1 0 12 11 9 14 5 10 2 8 15", na, na, na, na
X, dfid, topspin16-4, "4 5 1 0 2 3 8 7 6 9 13 12 11 10 14 15", 6, 1467570, 0.026258, 5.5890395308e+07
X, dfid, topspin16-4, "14 7 12 11 6 5 4 8 9 10 1 2 0 3 13 15", na, na, na, na
X, dfid, topspin16-4, "0 7 3 2 1 6 5 4 8 9 10 11 12 13 14 15", 2, 421, 0.000012, 3.5083333333e+07
X, dfid, topspin16-4, "0 1 2 6 5 4 12 8 7 3 11 14 13 9 10 15", 4, 89871, 0.002439, 3.6847478475e+07
X, dfid, topspin16-4, "3 2 1 4 5 6 7 8 13 14 11 12 9 10 0 15", 6, 7341123, 0.206065, 3.5625278432e+07
X, dfid, topspin16-4, "4 3 2 10 11 7 6 9 8 12 13 14 5 1 0 15", 4, 61362, 0.001640, 3.7415853659e+07
X, dfid, topspin16-4, "14 13 0 4 3 2 5 9 8 7 6 1 12 10 11 15", 10, 2936769004, 576.888164, 5.0907076748e+06
X, dfid, topspin16-4, "14 13 1 4 5 6 2 3 7 11 10 9 8 12 0 15", 4, 60004, 0.001111, 5.4009000900e+07
X, dfid, topspin16-4, "2 1 7 5 14 3 13 4 10 11 12 9 8 6 0 15", 10, 105019920, 379.829399, 2.7649234176e+05
X, dfid, topspin16-4, "0 6 12 3 5 9 7 2 8 13 11 10 1 4 14 15", na, na, na, na
X, dfid, topspin16-4, "2 10 6 4 5 0 12 11 8 1 13 3 7 9 14 15", na, na, na, na
X, dfid, topspin16-4, "14 2 3 4 7 8 9 5 6 13 12 11 10 1 0 15", 4, 72528, 0.001255, 5.7791235060e+07
X, dfid, topspin16-4, "0 1 5 4 3 7 13 10 11 12 9 8 14 2 6 15", 8, 428545166, 7.467059, 5.7391426263e+07
X, dfid, topspin16-4, "0 6 9 8 4 5 10 14 13 12 11 3 7 1 2 15", 6, 3451063, 0.066846, 5.1627068187e+07
X, dfid, topspin16-4, "0 12 11 2 1 13 14 3 7 6 5 4 8 9 10 15", 4, 64220, 0.001309, 4.9060351413e+07
X, dfid, topspin16-4, "2 1 5 9 8 10 12 7 6 11 13 0 3 4 14 15", 10, 2468521892, 477.742985, 5.1670500028e+06
X, dfid, topspin16-4, "3 5 14 7 1 4 13 9 8 10 11 12 2 6 0 15", 8, 222640896, 3.741264, 5.9509539022e+07
