grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, gap, pancake28, "26 19 21 9 1 5 22 16 0 18 23 4 27 3 6 11 25 13 8 17 24 2 15 20 12 7 10 14", 29, 28, 108037, 0.010607, 1.0185443575e+07
X, ida, gap, pancake28, "25 8 27 15 17 18 16 20 6 5 13 19 14 24 3 7 9 10 0 23 11 2 22 26 4 12 21 1", 26, 25, 135179, 0.013963, 9.6812289623e+06
X, ida, gap, pancake28, "1 27 15 9 6 5 19 4 3 18 21 20 26 17 22 8 23 16 0 13 25 11 2 12 14 10 7 24", 25, 25, 5635, 0.000700, 8.0500000000e+06
X, ida, gap, pancake28, "3 26 8 6 5 16 25 12 23 20 10 21 13 0 22 19 17 11 7 4 15 14 1 9 24 2 18 27", 26, 25, 22684, 0.002295, 9.8840958606e+06
X, ida, gap, pancake28, "25 3 27 14 20 0 19 17 6 21 1 15 22 4 10 5 12 24 7 8 26 11 2 9 16 13 23 18", 28, 27, 41811, 0.004772, 8.7617351215e+06
X, ida, gap, pancake28, "15 3 22 14 24 9 10 27 19 25 17 26 23 8 11 20 7 21 1 18 0 13 16 4 2 6 12 5", 27, 27, 12833, 0.001558, 8.2368421053e+06
X, ida, gap, pancake28, "15 17 6 27 1 19 20 16 23 3 12 0 25 22 18 5 4 10 14 24 26 13 2 8 21 7 11 9", 27, 26, 73941, 0.007358, 1.0049062245e+07
X, ida, gap, pancake28, "14 22 25 9 6 18 17 4 1 27 8 5 11 15 3 12 13 20 16 10 26 2 7 19 21 24 0 23", 27, 26, 14541, 0.001412, 1.0298158640e+07
X, ida, gap, pancake28, "15 22 8 23 17 5 25 19 24 6 11 3 21 4 26 1 27 16 14 7 2 20 13 0 9 10 18 12", 27, 27, 5193, 0.000659, 7.8801213961e+06
X, ida, gap, pancake28, "24 15 18 2 20 17 22 8 26 12 4 7 9 16 1 5 14 27 0 19 11 3 10 6 13 25 21 23", 29, 28, 147300, 0.015692, 9.3869487637e+06
X, ida, gap, pancake28, "16 15 19 25 23 7 17 22 5 4 0 24 9 14 11 10 1 18 13 3 6 26 2 27 8 20 12 21", 26, 25, 39863, 0.003902, 1.0216043055e+07
X, ida, gap, pancake28, "1 7 12 23 14 8 22 4 18 25 11 10 6 17 13 21 24 15 5 16 20 27 2 3 19 9 0 26", 26, 26, 16678, 0.001807, 9.2296624239e+06
X, ida, gap, pancake28, "5 4 21 23 14 20 0 10 13 9 16 1 22 2 25 27 12 8 17 6 26 7 24 19 3 18 11 15", 27, 27, 11490, 0.001184, 9.7043918919e+06
X, ida, gap, pancake28, "5 14 16 8 15 21 11 4 17 27 0 18 13 20 23 19 6 2 7 1 25 24 22 26 10 12 9 3", 27, 27, 9837, 0.001123, 8.7595725735e+06
X, ida, gap, pancake28, "2 22 24 16 6 10 27 14 5 20 21 13 4 25 23 0 17 11 7 12 8 3 26 1 19 9 18 15", 27, 27, 13366, 0.001396, 9.5744985673e+06
X, ida, gap, pancake28, "20 0 21 2 3 9 1 12 24 14 27 4 17 19 15 18 22 5 7 16 10 6 13 25 23 26 8 11", 28, 27, 73988, 0.007770, 9.5222651223e+06
X, ida, gap, pancake28, "25 15 11 14 4 12 7 8 10 21 19 3 18 2 0 6 22 24 5 1 13 16 9 27 20 17 26 23", 28, 27, 82040, 0.008341, 9.8357511090e+06
X, ida, gap, pancake28, "6 22 12 0 26 8 27 7 20 15 16 13 1 14 17 24 21 4 9 19 5 23 11 2 3 25 18 10", 27, 26, 13766, 0.001348, 1.0212166172e+07
X, ida, gap, pancake28, "15 0 6 9 8 25 2 16 26 1 14 12 13 5 27 23 17 11 10 20 4 21 24 7 19 22 18 3", 26, 25, 265554, 0.028039, 9.4708798459e+06
X, ida, gap, pancake28, "7 25 16 24 18 19 14 5 21 15 12 11 6 0 23 26 1 22 13 17 8 9 2 4 10 27 20 3", 25, 25, 579, 0.000071, 8.1549295775e+06
